id,title,original_title,overview,tagline,status,adult,video,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,homepage,imdb_id,poster_path,backdrop_path,genres,production_companies,production_countries,spoken_languages,origin_country,belongs_to_collection
191094,The Employer,The Employer,"Five highly qualified applicants interview for a coveted job with the Carcharias Corporation, a powerful conglomerate whose business practices are shrouded in mystery. On the night before the last round of interviews, they are all kidnapped and drugged. The next day, they wake up trapped together in a locked room without any hope of escape. Soon the true nature of their situation is revealed when they receive a phone call from the mysterious CEO of Carcharias, known only as The Employer. He informs them that they are about to experience the final interview, but it's not at all what they were expecting.",How far will they go to get the job?,Released,False,False,2013-06-07,85,0,0,0.8428,4.3,41,en,,tt1863203,/hlh1T4CbcybebiTVFGPofBioPcC.jpg,/xFr7lB18nj2IKAwBTDWwhNjenLp.jpg,"[{""id"": 53, ""name"": ""Thriller""}]","[{""id"": 99695, ""logo_path"": null, ""name"": ""Hyrax Entertainment"", ""origin_country"": """"}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""US""]",null
191081,The Woman God Forgot,The Woman God Forgot,"Cortez sends Alvarado to Montezuma who throws him into a dungeon from which he is rescued by Tecza who loves him. He is recaptured when her lover Guatemoco finds Alvarado hiding in her chambers. Tecza next leads Cortez into the city, thus causing the destruction of her nation and securing the love of Alvarado.",,Released,False,False,1917-10-27,77,115420,0,0.9887,5.8,8,en,,tt0008786,/olLa1TGuIz6rIXKxBUgYVazmpDg.jpg,,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 36, ""name"": ""History""}]","[{""id"": 13400, ""logo_path"": null, ""name"": ""Artcraft Pictures Corporation"", ""origin_country"": ""US""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""english_name"": ""No Language"", ""iso_639_1"": ""xx"", ""name"": ""No Language""}]","[""US""]",null
191077,Beat Girl,Beat Girl,"For Heather music is everything. Following in her mother's footsteps, Heather has always dreamed about getting into Juilliard and becoming a classical pianist. But all her dreams get shattered the day her mum dies. Left with nothing but a piano and debts, Heather's only option is to move in with her estranged father and half-brother. When her application for a scholarship is rejected, Heather's last hope to see her Big Dream come true is swept away. Until one day she meets Toby, a hip and handsome music store owner who opens up a whole new world to her - the world of DJ-ing and dance music. Heather is carried away by this enticing underground world, and her heart starts to beat again to the rhythm of a new life - and a new love. Heather eventually finds herself torn between two worlds of music and as her audition approaches, time comes for her to choose. And for the first time in her life she starts questioning what it is that she really desires.",,Released,False,False,2013-05-09,93,0,0,0.3065,5.7,3,en,,tt2274042,/44VcF0tjrhLk4RKrqi6lRS5oPXf.jpg,/7TmKgml6a7lqK1hXYbYaJJ4WY4s.jpg,"[{""id"": 18, ""name"": ""Drama""}]",[],"[{""iso_3166_1"": ""IE"", ""name"": ""Ireland""}]","[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""US"", ""IE""]",null
191084,The Adventures of Antar and Abla,مغامرات عنتر وعبلة,"The knight and poet Antar fights for his love, Abla.",,Released,False,False,1948-06-10,105,0,0,0.2795,0.0,0,ar,,tt0040617,/nuZO3McQHZAgqZfy9RqyFMRMbr2.jpg,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",[],[],"[{""english_name"": ""Arabic"", ""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}]","[""EG""]",null
191091,The Battle,The Battle,"Union soldiers march off to battle amid cheering crowds. After the battle turns against the Union Army, one soldier runs away, hiding in his girlfriend's house. Ashamed of his cowardice, he finds his courage and crosses enemy lines to bring help to his trapped comrades.",,Released,False,False,1911-11-06,17,0,0,0.7069,4.8,11,en,,tt0001499,/kFMnqIUIqoWN4NXqpEQZBfZR4Nj.jpg,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}]","[{""id"": 13131, ""logo_path"": null, ""name"": ""American Mutoscope & Biograph"", ""origin_country"": ""US""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""english_name"": ""No Language"", ""iso_639_1"": ""xx"", ""name"": ""No Language""}]","[""US""]",null
191074,With Sitting Bull at the Spirit Lake Massacre,With Sitting Bull at the Spirit Lake Massacre,"The story of a controversial white settlement in 1860s Spirit Lake, Iowa. Unbowed by the encroachment, Chief Sitting Bull vows to reclaim the land of his fathers.  A long-thought-lost film finally surfaces after being unseen for over eight decades. Created and copyrighted by Sunset Productions in 1925 but not released until June 15, 1927, this silent epic features the superior Native American actor Chief Yowlachie (performing here under the name Chief Yowlache) as Sitting Bull.",,Released,False,False,1927-06-14,75,0,0,0.3881,0.0,0,en,,tt0017399,/kEeYwVjlpisqQjJOVW9G6Fz3K19.jpg,/wCgRdm3n7jtSTVfRGoaEab3FS8b.jpg,"[{""id"": 37, ""name"": ""Western""}]","[{""id"": 4697, ""logo_path"": null, ""name"": ""Sunset Productions"", ""origin_country"": ""US""}]",[],[],"[""US""]",null
191090,What Shall We Do with Our Old?,What Shall We Do with Our Old?,"An elderly carpenter is told by a doctor that his wife is seriously ill. Soon afterwards, an insensitive shop foreman lays him off from his job because of his age. Unable to find work, and with his wife's condition getting worse, he soon becomes desperate.",,Released,False,False,1911-02-13,14,0,0,0.2532,5.5,8,en,,tt0001973,/4TaX0vvS4XQJN1uc3BM1GMdDBhz.jpg,,"[{""id"": 18, ""name"": ""Drama""}]","[{""id"": 13131, ""logo_path"": null, ""name"": ""American Mutoscope & Biograph"", ""origin_country"": ""US""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""english_name"": ""No Language"", ""iso_639_1"": ""xx"", ""name"": ""No Language""}]","[""US""]",null
191092,Addio giovinezza!,Addio giovinezza!,"The movie is about a student in Turin during the 1920s (moved up from the earlier versions) and his love for a a seamstress. The student, Mario, is played by Walter Slezak; the girl Dorina by Carmen Boni. The femme fatale Elena (Elena Sangro) threatens the relationship. When school days end, seen here as a kind of transitory idyll, it is ""farewell to youth"" as the title states, and a melancholy goodbye to youthful romances as well to allow new lives to take form.",,Released,False,False,1927-01-30,65,0,0,0.0921,6.0,1,it,,tt0167756,/eyLnI97WNWB9MJOulLLMTOwZl8J.jpg,,[],[],"[{""iso_3166_1"": ""IT"", ""name"": ""Italy""}]","[{""english_name"": ""Italian"", ""iso_639_1"": ""it"", ""name"": ""Italiano""}]","[""IT""]",null
191085,On Our Own Land,Na svoji zemlji,"Set in a Slovenian coastal town in WW2, the film tells a story about villagers who help partisans to get rid of Italian, and later German authorities that ruled the town in the last years of occupation.",,Released,False,False,1948-06-10,110,0,0,0.2191,5.7,6,sl,,tt0040634,/bfTqfg1wLq8fmYT6LpP16uscfit.jpg,/zjdUZQC5rxlXXyLVE62n5JFR5g.jpg,"[{""id"": 10752, ""name"": ""War""}]","[{""id"": 27706, ""logo_path"": null, ""name"": ""Triglav film"", ""origin_country"": ""SI""}]","[{""iso_3166_1"": ""YU"", ""name"": ""Yugoslavia""}]","[{""english_name"": ""Slovenian"", ""iso_639_1"": ""sl"", ""name"": ""Sloven\u0161\u010dina""}]","[""YU""]",null
191096,The Green Van,Зеленый фургон,"It is 1920. After three years of the Russian Civil War, communist government is finally established in Odessa. Young Alyosha Patrikeyv, who dreams of being a detective like Sherlock Holmes, joins the newly forming Odessa Criminal Police. He is assigned to fight illegal booz production in a small village of Severinovka. When he goes on a chase after a horse thief Krasavchik, Alyosha finds himself up against Cherven - the most dangerous criminal in Odessa.",,Released,False,False,1983-12-28,135,0,0,0.6287,6.5,10,ru,,tt0086638,/yDp5PiqDFOl9rcCvrxQ0fLXLAJV.jpg,/zTkIb6T9TkMEzNOy7Fog19Nkn8i.jpg,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 14620, ""logo_path"": ""/zbQk1aw57z6LUOSQzb0MoZDLiUz.png"", ""name"": ""Gosteleradio USSR"", ""origin_country"": ""SU""}, {""id"": 3161, ""logo_path"": ""/p22GDJaOniIWidl1vPqzBv4qxFN.png"", ""name"": ""Odessa Film Studio"", ""origin_country"": ""SU""}]","[{""iso_3166_1"": ""SU"", ""name"": ""Soviet Union""}]","[{""english_name"": ""Russian"", ""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]","[""SU""]",null
