id,title,original_title,overview,tagline,status,adult,video,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,homepage,imdb_id,poster_path,backdrop_path,genres,production_companies,production_countries,spoken_languages,origin_country,belongs_to_collection
167452,Sede de Amar (Capuzes Negros),Sede de Amar (Capuzes Negros),,,Released,False,False,1978-02-11,0,0,0,0.1021,2.0,2,pt,,tt0076679,/rxoUQww6hFa8bffxHrVmRczs2gK.jpg,,[],[],[],[],"[""PT""]",null
167453,You Belong to Me,You Belong to Me,A radio psychologist who solves the murders of wealthy women finds her latest case is much deeper than she imagined-and it may cost her life!,He's killed before. He'll kill again. Unless one courageous woman can stop him.,Released,False,False,2002-02-24,88,0,0,0.7458,5.5,7,en,,tt0302056,/am13zHV36Os307Mh6NfB8FL0HEO.jpg,/kwjKtDxgWjZGgBn1ZZdST5cRMnp.jpg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10770, ""name"": ""TV Movie""}]",[],"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}]","[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""CA"", ""US""]",null
167458,Stryker's War,Stryker's War,A wounded Vietnam Vet and his pals save a small town from a crazed cult leader and his maniac killer gang,,Released,False,False,1980-07-04,45,200000,0,0.5641,5.9,4,en,,tt4200472,/mUDA3WI0VAv8PLQO5G5UcXoNbqx.jpg,/5TSVsULywFRgIaFVi9nmytwbMoc.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",[],[],"[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""US""]",null
167461,Seicho Matsumoto Special: Fingers,松本清張スペシャル・指,"Fukue Yumiko is a struggling actress who isn't afraid to lie, cheat, or exploit her own sexuality if it means her own success. But as she becomes a big star, one TV reporter decides that it's time someone uncovered her dark past and reveal just how far she was prepared to go for her own fame.",,Released,False,False,2006-02-21,114,0,0,1.1558,3.2,5,ja,http://www.ntv.co.jp/d-complex/contents/20060221_a.html,tt1492985,/q1yNFtc64QYXpuA0QKjOq2AQ7TG.jpg,/rz0uFd0t9rq1B6JRE3KC68iCdDi.jpg,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",[],"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]","[{""english_name"": ""Japanese"", ""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]","[""JP""]",null
167463,"Love, Prostitute Word","Amor, Palavra Prostituta","Follows the relationship between two couples: An unemployed professor, Fernando, sustained by his factory worker girlfriend Rita, and sexist and reactionary Luís Carlos and inexperient Lilita.",,Released,False,False,1982-02-01,95,0,0,0.1696,6.7,9,pt,,tt0078769,/rjNPPsOPahYnpq658nfFMQyq2lP.jpg,/apHjXi35xZtvAz1mYxAWlORDLHG.jpg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]","[{""id"": 25326, ""logo_path"": null, ""name"": ""Galante Filmes"", ""origin_country"": ""BR""}]","[{""iso_3166_1"": ""BR"", ""name"": ""Brazil""}]","[{""english_name"": ""Portuguese"", ""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]","[""BR""]",null
167464,A View From Below,A View From Below,"A Film By Matt O'Connor &amp; Paul DiNatale  Pioneer into the deep sea with maverick submarine builder and underwater explorer Karl Stanley.  A View From Below follows Karl's unwavering quest to explore the mysteries of the deep sea.  From the age of 15, Karl has pioneered in an industry that discourages individual endeavors.  He has designed and built two groundbreaking submersibles with the creativity and resourcefulness of some of history's greatest inventors.  Karl's determination and creativity will amaze and inspire you from the very beginning.",Go Deeper,Released,False,False,2008-01-01,74,0,0,0.2018,7.5,1,en,http://www.rooftoppictures.com/,tt1362521,,,"[{""id"": 99, ""name"": ""Documentary""}]",[],[],"[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""US""]",null
167466,Propaganda,Propaganda,"An anti-western propaganda film about the influences of American visual and consumption culture on the rest of the world, as told from a North Korean perspective.",,Released,False,False,2013-02-14,96,0,0,1.489,8.0,27,en,https://mvdb2b.com/s/Propaganda/MVD6321D,tt2279306,/BfV6p69Vic44AiZKQIoydsXNCW.jpg,/aGi3beNxZQPdg8VzkwVXjXRKtVo.jpg,"[{""id"": 99, ""name"": ""Documentary""}]","[{""id"": 92459, ""logo_path"": null, ""name"": ""Sabineprogram"", ""origin_country"": ""NZ""}, {""id"": 146877, ""logo_path"": ""/xdxXUXaOlu9HRJk4cQfZvmPeYfM.png"", ""name"": ""Sideways Film"", ""origin_country"": ""GB""}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}]","[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}, {""english_name"": ""Korean"", ""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]","[""NZ"", ""US""]",null
167467,Bharatiya,Bharatiya,"Bharatiya is a story set in a village called ""ADNIDE"" on the borders of Maharashtra and Karnataka. As part of the fiction, the narrative details the alienation of the village folk from the mainstream because of the lack of amenities. The villagers are brought over for votes by politicians from both sides of the border but when it comes to fulfilling promises or furthering development of the village, the politicians turn a blind eye.",,Released,False,False,2012-08-10,134,0,0,0.3078,0.0,0,en,,,,,[],[],[],"[{""english_name"": ""Marathi"", ""iso_639_1"": ""mr"", ""name"": """"}]","[""US""]",null
167468,Movie Dementia,Filme Demência,"Transposition of the myth of Faust to modern Brazil. The heir to a bankrupt cigarette factory, amidst a personal crisis, leaves everything behind and heads for a supposed paradise he has seen in a tourist agency, where he believes he could find self-knowledge. In his search, he is inspired by a Mephisto-like character.",,Released,False,False,1986-10-15,90,0,0,0.2195,6.2,19,pt,,tt0091049,/sWsuwKiIP7ciOGRMGGoMIRpuvXn.jpg,/vVAixRds0ff6ZE5MzuvEAtZFvlv.jpg,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 13111, ""logo_path"": null, ""name"": ""Cinearte"", ""origin_country"": """"}, {""id"": 13930, ""logo_path"": ""/3XZZx8IOBO8bIl2kZxvvFeLuhMC.png"", ""name"": ""Embrafilme S/A"", ""origin_country"": ""BR""}]","[{""iso_3166_1"": ""BR"", ""name"": ""Brazil""}]","[{""english_name"": ""Portuguese"", ""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]","[""BR""]",null
167471,Ladies Nice,Ladies Nice,A groups of kids have a reckless party ignoring that their parent´s sins will fall over them,,Released,False,False,2013-02-11,85,0,0,0.1416,4.8,5,es,,tt2844434,/nN2hmc7ZkM1s0YrrdVkd3tqKzgZ.jpg,/oggSu4nIY8ZTfGBi19AorT6kcTl.jpg,"[{""id"": 18, ""name"": ""Drama""}]",[],"[{""iso_3166_1"": ""MX"", ""name"": ""Mexico""}]","[{""english_name"": ""Spanish"", ""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]","[""MX""]",null
