id,title,original_title,overview,tagline,status,adult,video,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,homepage,imdb_id,poster_path,backdrop_path,genres,production_companies,production_countries,spoken_languages,origin_country,belongs_to_collection
142493,"Everybody's an Actor, Shakespeare Said","Everybody's an Actor, Shakespeare Said",An east London youth drama group improvises scenes based upon their everyday life under the tutelage of Joan Littlewood.,,Released,False,False,1968-01-01,30,0,0,0.1033,4.9,6,en,,tt1731985,/ldAL4M4jICp60NSVEd3c5pQc81O.jpg,/sYadhC18HcEkvavaZR1d6Mfcavw.jpg,"[{""id"": 99, ""name"": ""Documentary""}]","[{""id"": 11365, ""logo_path"": null, ""name"": ""Jocasta Films"", ""origin_country"": """"}, {""id"": 8334, ""logo_path"": null, ""name"": ""Maya Films"", ""origin_country"": ""FR""}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]","[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""GB""]",null
142496,Comic Store Heroes,Comic Store Heroes,"Follow the lives of staffers Gerry, Thor and Alex as they deal with all manner of geeks and enthusiastic customers while simultaneously planning their mega-booth for New York Comic Con, their biggest day of the year.",,Released,False,False,2012-07-13,45,0,0,0.1717,5.8,4,en,http://www.comicstoreheroes.com,tt2390542,/fNrKG8DeAsgdI33Z7QndmYNH7he.jpg,/fR1UjAWfpVOehIT4ArjdtD05wIs.jpg,"[{""id"": 99, ""name"": ""Documentary""}]","[{""id"": 7521, ""logo_path"": ""/fRqMjLjyAqThtEg9P9WKCXLmCpJ.png"", ""name"": ""National Geographic"", ""origin_country"": ""US""}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""US""]",null
142498,Battle of Roses,薔薇合戦,"Following the death of Mr Masago, his wife Satomi loses the family's cosmetics company to Mr Mogy due to huge amount of withdrawal debt caused by her husband. Mogy blackmails Satomi's sister Hinako into marrying him, so he will not send Masago to jail, and Satomi wrongly understands that Hinako is dating Mogy.",,Released,False,False,1950-10-28,98,0,0,1.1626,6.0,9,ja,,tt0042226,/esyevkdFZ7T6zaBqSAhlRKcDpVi.jpg,/enNNrwip8FO0GjgpOWFek2B9u76.jpg,"[{""id"": 18, ""name"": ""Drama""}]","[{""id"": 5043, ""logo_path"": null, ""name"": ""Film Art Association"", ""origin_country"": ""JP""}, {""id"": 192, ""logo_path"": ""/93eAKlnQecDdMtucfOprzcjMw9V.png"", ""name"": ""Shochiku"", ""origin_country"": ""JP""}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]","[{""english_name"": ""Japanese"", ""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]","[""JP""]",null
142499,The Harmonium in My Memory,내 마음의 풍금,"Hong-yun is a high school girl in little mountain village when she falls head-over-heels for a handsome new school teacher, Mr. Kang. What with taking care of her youngest baby brother for her widowed mother and the impossible age difference, it is a roller-coaster ride for her as she tries to become someone special for Mr. Kang while he seems interested in the other new teacher at the school, Miss Yang.",You never forget your first love!,Released,False,False,1999-03-27,116,0,0,1.7505,6.5,39,ko,,tt0235452,/vWVuht8stXzNF38bfxTHgK80SOW.jpg,/mGLtSJSvaYdSVdMx2PMFDcvpl4w.jpg,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 122001, ""logo_path"": null, ""name"": ""Art Hill"", ""origin_country"": """"}]","[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}]","[{""english_name"": ""Korean"", ""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]","[""KR""]",null
142501,The Wiser Age,女の座,Drama about the lives of the five daughters and daughter-in-law of a store owner.,,Released,False,False,1962-01-14,111,0,0,1.801,7.3,7,ja,,tt0056310,/lGBznTKpuhq96YPBqL7EXhodvWZ.jpg,/xqxMInN7aZstr0JTYw8R0XVRmwW.jpg,"[{""id"": 18, ""name"": ""Drama""}]","[{""id"": 882, ""logo_path"": ""/fRSWWjquvzcHjACbtF53utZFIll.png"", ""name"": ""TOHO"", ""origin_country"": ""JP""}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]","[{""english_name"": ""Japanese"", ""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]","[""JP""]",null
142504,"Øl - Humle, hygge og højt skum...","Øl - Humle, hygge og højt skum...",,,Released,False,False,2002-12-31,0,0,0,0.2346,0.0,0,da,,,/pJDo9YCF0JDojKxfMdHO1J5Inhe.jpg,,"[{""id"": 99, ""name"": ""Documentary""}]","[{""id"": 9339, ""logo_path"": ""/hwEpOrIYH7G4Rolt7s2thYquJnD.png"", ""name"": ""Universal Music Group"", ""origin_country"": ""US""}, {""id"": 114100, ""logo_path"": null, ""name"": ""Substanz ApS"", ""origin_country"": """"}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}]","[{""english_name"": ""Danish"", ""iso_639_1"": ""da"", ""name"": ""Dansk""}]","[""DK""]",null
142506,Romeo & Juliet - The Royal Ballet,Romeo & Juliet - The Royal Ballet,"Carlos Acosta dances as one of the two star-crossed lovers in Shakespeare's timeless tragedy, presented with the classic Kenneth MacMillan choreography and beautifully staged by The Royal Ballet. In this perennial favourite, Carlos Acosta dances alongside Tamara Rojo in a celebrated stage partnership. The drama of the doomed lovers is set against the ravishing sets and costumes designs of Nicholas Georgiadis.",,Released,False,False,2007-01-17,140,0,0,0.1686,0.0,0,en,,tt5663038,/vyvrknEEv0YUzWlYgJATTMv55r0.jpg,,"[{""id"": 10402, ""name"": ""Music""}]","[{""id"": 11514, ""logo_path"": ""/uC4LtXWXfuDleivpGYSOsl8veXN.png"", ""name"": ""Royal Opera House"", ""origin_country"": ""GB""}]",[],[],"[""US""]",null
142507,Exit,Exit,A group of people believe the city is a maze and are obsessively searching for the lost exit.,Welcome to the maze.,Released,False,False,2011-08-04,90,0,0,0.5511,4.4,8,en,,tt1814701,/gfyI5og2o2f84RhO0RPw1c1jFbQ.jpg,,"[{""id"": 18, ""name"": ""Drama""}]",[],"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}]","[{""english_name"": ""English"", ""iso_639_1"": ""en"", ""name"": ""English""}]","[""US"", ""AU""]",null
142510,The Adventures of Don Quixote,The Adventures of Don Quixote,"Don Quixote has always dreamed of becoming a knight.  When he inherits an estate from his grandfather, his evil cousin Isabella schemes with her husband to relieve Don of his new-found fortune.  Dazed and confused by a bump on the head, Quixote's plans of battling evil come to a screeching halt when he draws his sword against a giant windmill.  Grab your shining armor and noble steed and ride off to exciting adventures with Don Quixote.",,Released,False,False,1994-01-01,60,0,0,0.0,0.0,0,en,,,,,[],[],[],[],"[""US""]",null
142511,Avec Punch,アベックパンチ,"High school students Isaki and Hiramasa can't stand being bored. One day, while walking across town, they bump shoulders with two other people. An argument ensues and, as usual, Hiramasa is ready to fight. Hiramasa is supremely confident when it comes to fighting. An unusual thing happens though, Hiramasa gets knocked out ...",,Released,False,False,2011-06-18,86,0,0,0.6616,0.0,0,ja,,tt1823780,/Au9oaG1o5eO4VOSVmKKhH94Grcl.jpg,/mqquUxZU6CbVZihtHVg4Sfytlp7.jpg,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 6954, ""logo_path"": null, ""name"": ""Enterbrain"", ""origin_country"": ""JP""}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]","[{""english_name"": ""Japanese"", ""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]","[""JP""]",null
